c5ed6bed-740f-4032-b065-f88f5073c5e2	d0c36b71e258d6489124b21c18ebfb1c40441d140d98c5f9c3cc0d639ed46291	2025-08-30 11:20:07.404998+00	20250830110336_init_postgresql_with_telegram_status	\N	\N	2025-08-30 11:20:06.830316+00	1
3f628853-47e5-4623-b0ff-2eda63ac6edd	db952a1c713a1900c31e132c9975aa4a2edb521025f57af2916470b681aba1ad	2025-08-30 15:29:01.805377+00	20250830145452_add_processor_system	\N	\N	2025-08-30 15:29:01.541426+00	1
3fc83d26-ab6a-470c-ac22-64e9c0e2100e	63e071f5fe129e2dcc3f5f91fcb4700cf27d7ccb7a5fd800beb321325f00f0d9	2025-08-31 13:24:04.019881+00	20250831131712_add_crypto_support_to_processor_deposits	\N	\N	2025-08-31 13:24:03.966026+00	1
47dbd375-9c97-4729-86a6-d0716940487d	dd2be4fd7226e57b377df8adca2fd4aa8bb670669ff267796f16b4c7e79e90de	2025-09-01 10:13:02.033027+00	20250831211521_add_bonus_grid_and_motivations	\N	\N	2025-09-01 10:13:01.925645+00	1
9bc48d58-1c9d-4cc7-86db-91f7fdb80de9	de494cbf510aafe532228d1100a250d749eba79a88eec3004a85092e1a4d9184	2025-09-01 10:13:02.212801+00	20250831212553_add_processing_instructions_and_scripts	\N	\N	2025-09-01 10:13:02.03626+00	1
f0a323e2-85d7-4718-bf51-373f54ef541d	14ad2fab83782900abf886d1a712ccf16101983e202ceed7a984f527b7ce0b1d	2025-09-01 10:13:02.243175+00	20250831215844_add_user_wallets	\N	\N	2025-09-01 10:13:02.215797+00	1
b58d94dd-825e-4b93-b451-03b1fd399505	9d60ff571eb085e6204a8ef617456cf8b4a6a072c3d8fb3d5615c7d7040cc209	2025-09-03 17:53:14.32211+00	20250903172911_add_transfer_exchange_support	\N	\N	2025-09-03 17:53:14.235603+00	1
2b1b5052-a6e4-41ba-851b-f86e7a6e87ad	e64010eb2025697ac7456c9f4dec6274251edd0a0289124051c0662df640b2bc	2025-09-08 17:29:48.51231+00	20250907163912_add_shift_types_and_penalties	\N	\N	2025-09-08 17:29:48.410445+00	1
b8e579c3-9fa9-4ac8-9197-e9581a3271ed	1e70018c929a4918f189511aa953e52b97631c63d92a2f731bcb7aaa50c1339c	2025-09-08 17:29:48.551028+00	20250907164636_add_shift_tracking	\N	\N	2025-09-08 17:29:48.515077+00	1
\.


